ID_big_road1,ID_railroad_station_walk,build_count_1971-1995,cafe_avg_price_5000,cafe_count_3000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_sum_3000_max_price_avg,full_sq,kremlin_km,office_count_1500,price_doc,ID_big_road2,big_church_count_1000,big_church_count_5000,build_count_wood,cafe_count_1000,cafe_count_1500_price_1000,cafe_count_2000_price_2500,cafe_count_3000_price_500,cafe_count_5000_price_1000,cafe_sum_3000_min_price_avg,church_count_1500,leisure_count_5000,office_count_2000,cafe_avg_price_2000,cafe_count_3000_price_1000,cafe_count_5000_price_1500,cafe_sum_5000_max_price_avg,church_count_2000,ekder_all,max_floor,office_count_3000,office_sqm_5000,school_quota,big_church_count_3000,build_count_panel,cafe_count_2000_price_1000,cafe_count_5000,leisure_count_3000,mosque_km,office_count_5000,sub_area,trc_sqm_3000,work_all,big_market_km,bulvar_ring_km,cafe_avg_price_3000,cafe_count_2000_price_500,cafe_count_3000_price_1500,cafe_count_500,cafe_sum_2000_max_price_avg,cafe_sum_5000_min_price_avg,oil_chemistry_km,sadovoe_km,trc_sqm_2000,water_treatment_km
8,12.0,52.0,1016.29,53,11,31,1083.33,79,15.44513265,2,12700000,1,0,10,1.0,6,6,0,14,47,639.58,1,1,2,885.42,18,37,1272.73,3,21807,22.0,5,834791,7123.0,6,162.0,9,143,0,6.84351943,30,Hovrino,283539,47628,16.73297391,14.05472607,861.46,5,13,0,1104.17,759.85,21.67011266,13.37898459,128499,18.34696
5,45.0,25.0,920.06,76,14,43,1364.29,101,14.01016156,4,15800000,36,0,12,0.0,11,6,2,12,60,815.71,0,0,10,1257.14,27,41,1156.05,1,19391,32.0,18,937031,7327.0,3,108.0,10,171,0,3.1241896010000003,40,Beskudnikovskoe,730103,44449,14.53661682,12.52709021,1090.0,5,21,3,1557.14,684.08,18.66264852,11.92034255,381243,21.7915
1,1.0,206.0,962.59,69,12,37,1084.62,35,15.13101385,5,1000000,5,1,12,0.0,24,11,2,21,48,643.08,2,0,8,837.84,23,40,1205.04,2,36211,12.0,14,803885,11065.0,3,184.0,12,151,0,3.795383007,28,Bibirevo,1419204,98207,10.21769382,13.6441897,863.85,15,17,5,1054.05,720.14,18.42486979,13.07360351,355634,23.16273
21,30.0,210.0,918.98,39,3,30,1289.47,53,12.38602778,0,8500000,3,0,8,81.0,5,4,1,12,43,778.95,2,10,1,897.22,10,25,1157.41,2,57086,9.0,2,277087,16049.0,2,320.0,4,111,6,11.47698236,10,Vyhino-Zhulebino,173322,140182,8.092235999,11.09433579,1034.21,6,10,1,1111.11,680.56,5.452215787,10.25887394,112892,8.383673
14,12.0,52.0,953.85,68,20,48,1101.56,33,14.20568074,3,4700000,8,2,11,1.0,14,10,0,19,58,651.56,2,1,3,804.41,24,45,1195.27,4,21807,9.0,14,1168277,7123.0,7,162.0,15,189,0,6.033242986,38,Hovrino,328139,47628,17.90854366,12.81686738,876.56,9,17,6,1014.71,712.43,20.53484106,12.13977723,169640,19.49591
5,64.0,25.0,941.21,80,13,52,1180.56,38,11.68456693,7,4360000,30,0,13,0.0,7,5,1,19,65,697.22,5,2,16,861.29,29,46,1181.32,9,19391,14.0,22,1095264,7327.0,4,108.0,12,195,0,1.75037998,48,Beskudnikovskoe,436735,44449,16.34327007,10.20470259,938.89,8,18,3,1080.65,701.1,16.73284442,9.593577556,120430,22.20822
27,118.0,,1365.0,0,0,1,,77,25.02885405,0,8192135,45,0,2,,0,0,0,0,3,,2,0,0,,0,3,1700.0,2,861,1.0,0,525,,0,,0,10,0,16.47732937,1,Poselenie Vnukovskoe,17000,2566,21.18120518,24.14808173,,0,0,0,,1030.0,33.53516903,22.99631041,0,20.12693
14,41.0,8.0,1077.55,31,5,12,1451.61,67,20.45036267,1,12900000,1,0,4,116.0,12,3,1,4,11,893.55,2,0,2,1023.68,8,18,1336.73,2,2497,,3,53940,6620.0,1,14.0,5,54,0,12.65811682,3,Kurkino,302618,13143,21.70933984,19.13180476,1172.58,3,14,1,1263.16,818.37,27.33348353,18.40096428,292618,12.83457
3,3.0,35.0,957.98,48,4,22,1222.22,32,10.82113501,1,5100000,21,0,6,0.0,10,7,4,15,36,733.33,3,7,1,950.0,13,27,1202.13,5,32027,5.0,3,691467,10492.0,2,312.0,10,98,4,9.805494392,24,Kuz'minki,59660,93811,7.665467276,9.636185168999999,977.78,12,11,1,1191.18,713.83,5.25177454,8.690696861000001,48450,6.926692999999998
13,24.0,0.0,907.69,1,1,2,1000.0,40,23.37369741,1,3760280,27,0,1,1.0,1,1,0,0,7,500.0,2,0,1,750.0,1,3,1153.85,3,4695,17.0,1,117300,,0,0.0,1,14,0,13.18857102,1,Poselenie Moskovskij,117300,13996,13.44896211,22.54890872,750.0,0,0,0,1000.0,661.54,29.54613155,21.3805548,117300,13.99758
14,4.0,93.0,950.93,72,19,47,1107.69,58,15.16022466,2,10921680,1,0,11,7.0,11,10,3,21,56,650.77,0,1,2,893.55,24,38,1194.44,0,39573,0.0,12,1142006,9891.0,6,235.0,13,181,1,9.046649313,34,Severnoe Tushino,395598,93843,21.45923388,13.87388432,879.23,8,14,3,1129.03,707.41,22.4566459,13.12117509,226898,18.119
38,47.0,,1530.77,4,1,1,2875.0,65,22.56578937,0,5836544,1,0,1,,1,1,0,0,2,1750.0,1,0,0,2000.0,1,6,1884.62,2,2056,14.0,0,85159,,0,,1,14,0,3.96875263,1,Poselenie Sosenskoe,0,6127,5.960392519,21.83402404,2312.5,0,0,0,2500.0,1176.92,23.22643736,20.65980323,0,5.04858
1,42.0,159.0,865.57,13,3,22,1000.0,60,17.8141497,0,8300000,43,0,5,5.0,2,2,1,5,21,583.33,2,0,0,922.22,4,12,1090.16,4,46177,9.0,0,105647,10559.0,1,150.0,4,64,0,5.267036349,5,Jasenevo,123800,105171,5.640932761,17.10947487,791.67,2,2,0,1166.67,640.98,18.20509645,15.83795833,123800,7.670919
11,11.0,42.0,934.29,10,1,8,1250.0,55,17.26200639,0,7500000,7,0,5,793.0,2,1,0,0,14,750.0,0,2,0,916.67,5,11,1171.43,0,8935,,0,138650,8687.0,3,97.0,2,36,0,9.413463477,2,Kosino-Uhtomskoe,47100,49242,12.36725856,15.89547014,1000.0,0,5,1,1166.67,697.14,8.436372717000001,15.15094273,0,3.859092
23,27.0,135.0,916.67,55,10,25,1220.0,57,16.17299745,2,8600000,52,0,7,5.0,26,13,4,12,38,712.0,1,2,2,951.32,22,21,1155.91,4,35267,9.0,2,212200,6587.0,3,128.0,14,103,1,7.149834683,4,Orehovo-Borisovo Severnoe,1212021,83861,1.505769914,15.59489661,966.0,11,10,9,1197.37,677.42,7.2351953510000016,13.9200777,374021,4.658754
13,24.0,,800.0,1,1,1,,29,27.00081593,0,1970308,38,0,0,,0,0,0,0,1,,0,0,0,,0,1,1000.0,0,548,4.0,0,117300,,0,,0,4,0,13.44782627,1,Poselenie Filimonkovskoe,0,1633,18.14532302,26.19777888,,0,0,0,,600.0,31.86203396,25.03640733,0,13.533729999999998
1,56.0,185.0,874.71,28,3,24,1071.43,45,13.78070463,0,6000000,25,1,5,0.0,4,5,0,8,37,621.43,1,8,0,745.0,13,18,1105.88,1,32331,9.0,1,303437,9439.0,4,143.0,5,88,3,6.40753461,7,Ivanovskoe,500823,77612,13.67377196,12.0970437,846.43,3,6,0,950.0,643.53,5.354139653,11.47590173,350000,10.86912
1,33.0,106.0,1055.2,51,13,51,1163.04,42,11.5687369,3,6450000,22,0,6,1.0,0,2,2,11,64,680.43,1,5,5,980.0,19,53,1319.31,2,24075,25.0,14,749457,6484.0,2,123.0,6,215,1,4.704325181000001,31,Ochakovo-Matveevskoe,307126,78670,9.309333183,10.70021312,921.74,3,11,0,1233.33,791.09,19.97052954,9.530764753,72795,13.73705
5,45.0,25.0,913.61,71,15,46,1406.25,37,13.34104778,3,1000000,36,0,12,0.0,5,7,2,9,65,839.06,1,0,8,1212.12,26,45,1147.93,3,19391,,19,932458,7327.0,4,108.0,9,184,0,2.674403541,40,Beskudnikovskoe,601643,44449,14.65021824,11.86058658,1122.66,5,19,0,1500.0,679.29,18.16170772,11.25015614,228983,22.14617
38,24.0,,1625.0,0,1,0,,64,28.73814133,0,4378116,13,0,0,,0,0,0,0,0,,0,0,0,,0,1,2000.0,1,548,9.0,0,0,,0,,0,3,0,13.17602722,0,Poselenie Filimonkovskoe,0,1633,16.7570728,27.95587215,,0,0,0,,1250.0,32.565914,26.80908599,0,12.81737
1,25.0,73.0,861.92,58,19,42,932.69,62,14.441823499999998,4,2000000,15,0,14,0.0,7,4,1,21,47,544.23,3,1,5,875.0,19,31,1084.62,3,26324,14.0,7,622973,7595.0,6,161.0,8,149,0,4.472463613,26,Severnoe Medvedkovo,2597887,77062,4.430709027,13.00753516,738.46,5,11,2,1100.0,639.23,16.21412981,12.33062961,973667,24.05078
2,39.0,,912.5,3,2,4,1500.0,77,25.59597356,0,6250772,38,0,1,,0,0,0,0,4,1000.0,1,0,0,1250.0,0,8,1125.0,2,1533,,0,0,,1,,0,18,0,2.797454739,0,Poselenie Voskresenskoe,0,4568,14.70375644,24.89313031,1250.0,0,3,0,1500.0,700.0,23.46344657,23.61361442,0,0.970986
13,103.0,,1100.0,4,0,2,1375.0,73,24.34442477,0,5626933,27,0,1,,0,0,0,1,6,825.0,1,0,0,825.0,1,3,1384.62,1,861,22.0,0,117300,,0,,0,13,0,15.04558744,1,Poselenie Vnukovskoe,17000,2566,18.50914128,23.47409759,1100.0,1,1,0,1000.0,815.38,32.18770844,22.30573273,17000,17.57545
10,68.0,66.0,911.27,45,3,28,1011.36,32,11.03158207,0,4780000,1,1,7,2.0,12,11,2,12,40,570.45,1,10,3,807.81,23,25,1147.06,4,24130,,8,384344,5824.0,3,85.0,16,105,6,9.670330455,17,Novogireevo,181806,56908,14.66641109,9.449058317999999,790.91,9,7,3,1031.25,675.49,2.487338396,8.896742445,39106,11.04277
2,47.0,109.0,950.0,15,2,5,1230.77,40,23.20144892,0,6400000,1,0,2,607.0,1,1,0,2,5,776.92,1,0,0,1065.0,3,9,1175.0,1,26087,9.0,0,0,24750.0,1,431.0,2,22,0,0.523414652,0,Juzhnoe Butovo,118000,121369,13.98882862,22.50418755,1003.85,1,8,0,1300.0,725.0,21.32616993,21.21033001,87000,2.272262
11,75.0,10.0,909.38,5,0,2,1300.0,39,20.54946417,0,4214650,55,0,2,0.0,0,0,0,1,9,760.0,2,0,0,825.0,2,4,1156.25,2,3150,1.0,0,26950,7377.0,0,28.0,0,16,0,11.89150635,1,Nekrasovka,41100,13331,10.26421846,19.27253651,1030.0,1,1,0,1000.0,662.5,8.483391369,18.41892854,0,0.387777
13,24.0,0.0,907.69,1,1,2,1000.0,73,23.37369741,1,7371028,27,0,1,1.0,1,1,0,0,7,500.0,2,0,1,750.0,1,3,1153.85,3,4695,,1,117300,,0,0.0,1,14,0,13.18857102,1,Poselenie Moskovskij,117300,13996,13.44896211,22.54890872,750.0,0,0,0,1000.0,661.54,29.54613155,21.3805548,117300,13.99758
1,4.0,93.0,1022.22,43,9,27,1225.0,99,16.87216284,3,15200000,17,1,10,0.0,3,3,2,8,48,710.0,1,1,4,1030.0,18,34,1281.75,1,25799,22.0,8,473737,6340.0,5,84.0,4,135,1,11.66189719,18,Juzhnoe Tushino,368622,65729,22.89592199,15.64618821,967.5,2,8,0,1300.0,762.7,24.61382208,14.85050017,119100,16.77329
38,47.0,,1554.17,4,1,1,2875.0,46,21.60973301,0,5029517,1,0,1,,1,1,0,0,2,1750.0,1,0,0,750.0,1,5,1916.67,2,2056,25.0,0,85159,,0,,1,13,0,4.398592095,1,Poselenie Sosenskoe,0,6127,4.191806054,20.87560196,2312.5,0,0,0,1000.0,1191.67,22.737368300000004,19.71352878,0,5.83476
12,18.0,129.0,885.71,31,4,16,1120.69,37,14.84235062,2,5200000,41,1,5,0.0,3,2,0,9,17,662.07,1,1,2,540.0,11,12,1112.24,2,41919,17.0,4,270637,11081.0,3,207.0,2,53,0,7.065141395,9,Gol'janovo,423845,98260,13.55227717,13.04942987,891.38,3,7,2,700.0,659.18,8.130780359,12.30101561,380110,15.40572
5,52.0,68.0,1029.26,40,6,20,1472.22,44,16.66651225,1,1000000,1,0,8,0.0,5,6,2,7,34,891.67,0,0,5,1032.35,11,29,1287.23,0,16509,,10,637011,5671.0,3,85.0,7,100,0,5.849038328,19,Dmitrovskoe,738564,61600,12.93095664,15.19315723,1181.94,2,11,1,1294.12,771.28,21.37884805,14.57338346,550900,19.38748
38,108.0,1.0,1714.29,6,0,0,2333.33,54,35.00487231,0,5500000,46,0,0,1.0,0,0,1,0,2,1416.67,1,0,0,1375.0,1,1,2142.86,2,9501,9.0,0,0,,0,0.0,1,7,0,15.89267523,0,Troickij okrug,0,24009,18.55997934,34.25081613,1875.0,0,1,0,1750.0,1285.71,36.62587591,33.11929629,0,14.350179999999998
4,71.0,76.0,1236.95,535,118,412,1653.39,35,4.413464892,32,1000000,32,2,65,6.0,29,14,39,115,406,1010.96,5,72,58,1431.32,121,392,1538.46,9,33017,12.0,133,8881955,10602.0,12,30.0,42,1743,12,5.142250573,480,Presnenskoe,1314600,75357,13.15158332,3.300373184,1332.17,38,123,4,1773.68,935.45,13.45287065,2.441454209,692200,13.73785
5,99.0,48.0,918.71,80,30,132,1028.17,104,8.517733561,1,17400000,30,1,17,16.0,3,1,0,26,102,616.9,4,5,1,690.63,22,76,1150.0,4,18652,,31,3691689,6217.0,5,41.0,6,380,2,3.995528623,145,Timirjazevskoe,94747,52030,18.32006448,7.0829601360000005,822.54,7,21,1,875.0,687.43,14.77492287,6.426376712000001,55602,19.11669
13,24.0,,1005.26,9,1,4,1222.22,63,22.2224338,0,7005382,27,0,2,,2,1,1,1,8,700.0,1,1,0,983.33,5,5,1263.16,3,861,17.0,0,117300,,1,,3,20,0,13.02428958,1,Poselenie Vnukovskoe,22000,2566,16.02481569,21.35256386,961.11,1,2,1,1250.0,747.37,30.35159408,20.1839798,17000,17.04954
22,34.0,131.0,1041.23,9,7,14,1083.33,38,16.95434104,1,5700000,1,0,5,352.0,5,2,0,1,20,633.33,0,3,2,880.0,3,13,1307.02,1,22276,12.0,3,407397,9700.0,0,157.0,2,64,1,7.626007502,12,Solncevo,294350,75334,10.62604733,16.10633525,858.33,1,2,1,1100.0,775.44,24.96873979,14.93445748,115350,15.68609
1,105.0,0.0,980.77,18,9,25,1285.71,69,15.75024402,1,8570190,22,0,5,1.0,1,1,0,3,30,778.57,1,3,2,750.0,4,22,1230.77,2,4695,1.0,7,467146,,1,0.0,1,100,1,6.132985602000001,17,Poselenie Moskovskij,312350,13996,8.281028062,14.92160159,1032.14,0,5,0,1000.0,730.77,23.58812822,13.75272697,209000,15.16405
14,28.0,131.0,720.0,6,0,7,916.67,74,38.84588771,0,8700000,46,0,0,146.0,0,0,0,3,4,566.67,1,2,1,700.0,1,4,900.0,2,14911,17.0,1,51038,10529.0,0,111.0,1,15,1,31.11366699,3,Krjukovo,17700,58114,46.08679046,37.59962333,741.67,2,2,0,875.0,540.0,46.05109533,36.82010878,15600,6.422132
11,75.0,10.0,909.38,5,0,2,1300.0,79,20.54946417,0,7682400,55,0,2,0.0,0,0,0,1,9,760.0,2,0,0,825.0,2,4,1156.25,2,3150,17.0,0,26950,7377.0,0,28.0,0,16,0,11.89150635,1,Nekrasovka,41100,13331,10.26421846,19.27253651,1030.0,1,1,0,1000.0,662.5,8.483391369,18.41892854,0,0.387777
3,17.0,154.0,888.84,48,11,37,1104.65,67,10.65699902,2,9000000,4,1,7,0.0,5,6,1,9,41,644.19,1,8,2,1038.24,20,22,1120.54,11,34450,14.0,4,729479,11887.0,3,190.0,7,123,0,8.556779255,17,Ljublino,629898,107626,3.192028195,9.770544121,874.42,1,12,0,1294.12,657.14,5.491599411,8.525698612000001,10420,3.055027
13,24.0,,1005.26,9,1,4,1222.22,38,22.22349985,0,4450632,27,0,2,,2,1,1,1,8,700.0,1,1,0,983.33,5,5,1263.16,3,861,17.0,0,117300,,1,,3,20,0,13.03628634,1,Poselenie Vnukovskoe,22000,2566,16.04220232,21.35324826,961.11,1,2,1,1250.0,747.37,30.36952417,20.18481959,17000,17.08146
11,75.0,10.0,1028.57,3,0,1,1333.33,38,19.76393757,0,3951780,7,0,4,0.0,0,0,0,0,6,833.33,1,0,0,,1,6,1285.71,1,3150,,0,0,7377.0,0,28.0,0,14,0,9.895089566000001,0,Nekrasovka,41100,13331,10.10314735,18.407120300000006,1083.33,0,2,0,,771.43,9.425425854,17.64838925,0,1.530345
3,17.0,103.0,913.61,36,11,49,1045.45,45,9.14755009,1,6900000,4,0,8,22.0,1,1,0,9,56,612.12,3,8,1,858.33,14,36,1148.73,4,21635,9.0,8,1598955,5791.0,2,99.0,6,169,0,7.904654982999999,40,Pechatniki,60335,51393,5.486438656,8.236875638999999,828.79,2,9,1,1083.33,678.48,6.958308195,7.032399047,4100,3.493384
13,24.0,,1019.44,9,1,4,1222.22,63,22.39685016,0,4732843,27,0,2,,2,1,1,1,7,700.0,1,0,0,1166.67,5,5,1277.78,2,861,,0,117300,,1,,2,19,0,13.22709704,1,Poselenie Vnukovskoe,22000,2566,16.23619309,21.52565228,961.11,0,2,0,1500.0,761.11,30.55992521,20.35763602,17000,17.19371
11,75.0,10.0,909.38,5,0,2,1300.0,81,20.54946417,0,6975270,55,0,2,0.0,0,0,0,1,9,760.0,2,0,0,825.0,2,4,1156.25,2,3150,,0,26950,7377.0,0,28.0,0,16,0,11.89150635,1,Nekrasovka,41100,13331,10.26421846,19.27253651,1030.0,1,1,0,1000.0,662.5,8.483391369,18.41892854,0,0.387777
38,124.0,,1250.0,1,0,0,1500.0,167,70.73876915,0,7115196,2,0,0,,1,0,0,0,0,1000.0,0,0,0,1250.0,0,1,1500.0,0,617,3.0,0,0,,0,,0,1,0,44.84983198,0,Poselenie Rogovskoe,0,1677,58.50451066,69.98487437,1250.0,0,1,1,1500.0,1000.0,70.41343429,68.85304673,0,47.59124
16,33.0,36.0,987.31,178,15,76,1218.02,123,11.16738686,8,15719542,51,0,5,0.0,16,13,9,43,114,726.16,1,6,11,908.54,61,93,1236.84,4,17757,,31,1351147,6083.0,2,134.0,27,338,3,0.824361578,55,Obruchevskoe,585095,51445,5.598164295,10.41375556,972.09,25,48,6,1140.24,737.77,18.33049428,9.284762438,60100,10.35516
16,42.0,52.0,1026.74,193,22,95,1291.01,44,8.471777238,11,7100000,4,0,12,0.0,31,28,12,37,133,778.31,1,8,16,1022.98,64,117,1283.58,5,24312,5.0,36,2458274,6887.0,3,140.0,45,424,4,2.539072851,90,Cheremushki,633840,65782,6.8309606889999985,7.731923393,1034.66,24,65,8,1278.23,769.9,15.30369291,6.625415195,227500,8.040232000000001
4,5.0,71.0,1165.93,1815,170,639,1453.0,63,0.072896553,120,4699622,34,16,150,27.0,316,143,150,449,642,882.31,66,105,232,1180.19,432,636,1451.32,104,20184,,486,9997846,6772.0,94,41.0,257,2625,85,1.827838178,774,Tverskoe,1702619,43921,7.836658044,0.506919217,1167.66,255,446,71,1468.75,880.53,8.750185233,2.185333005,1240332,10.37804
2,2.0,56.0,920.44,89,12,64,1126.51,32,11.09683732,4,6765000,4,0,7,0.0,24,13,5,26,80,660.24,3,9,10,825.0,31,59,1155.56,6,17396,9.0,19,2390989,10027.0,2,64.0,16,237,3,0.370005864,57,Nagornoe,852870,49882,8.525586457000001,10.4838418,893.37,19,17,1,1041.67,685.33,12.43700905,9.033679588,193000,4.2631440000000005
11,75.0,10.0,1028.57,3,0,1,1333.33,40,19.76393757,0,4112800,7,0,4,0.0,0,0,0,0,6,833.33,1,0,0,,1,6,1285.71,1,3150,,0,0,7377.0,0,28.0,0,14,0,9.895089566000001,0,Nekrasovka,41100,13331,10.10314735,18.407120300000006,1083.33,0,2,0,,771.43,9.425425854,17.64838925,0,1.530345
22,34.0,131.0,1095.65,12,6,11,1000.0,40,16.95715522,1,4811072,1,0,5,352.0,6,2,0,2,14,566.67,0,3,2,880.0,5,12,1369.57,0,22276,17.0,3,389504,9700.0,0,157.0,2,52,1,7.838955416,11,Solncevo,294350,75334,10.50713143,16.10136105,783.33,1,2,0,1100.0,821.74,25.06251527,14.92960711,115350,16.10365
4,5.0,71.0,1165.93,1815,170,639,1453.0,98,0.072896553,120,18200000,34,16,150,27.0,316,143,150,449,642,882.31,66,105,232,1180.19,432,636,1451.32,104,20184,16.0,486,9997846,6772.0,94,41.0,257,2625,85,1.827838178,774,Tverskoe,1702619,43921,7.836658044,0.506919217,1167.66,255,446,71,1468.75,880.53,8.750185233,2.185333005,1240332,10.37804
6,63.0,106.0,1148.16,67,18,51,1838.71,45,9.110648006,3,7200000,9,0,8,1.0,5,2,6,9,66,1116.13,2,6,3,1361.43,16,58,1430.88,5,24075,14.0,11,1339758,6484.0,1,123.0,7,235,0,1.952988277,49,Ochakovo-Matveevskoe,215517,78670,11.79024412,8.229275791000001,1477.42,6,14,0,1685.71,865.44,17.89184903,7.082181938,47722,13.12877
14,85.0,39.0,962.38,141,34,105,1148.0,31,9.067070589,16,1000000,28,0,11,2.0,13,11,3,48,100,691.2,2,5,21,777.22,32,77,1203.76,6,23938,5.0,49,3193321,8751.0,8,60.0,22,353,2,6.223392423,122,Koptevo,562947,59120,20.00608387,7.752602033,919.6,36,31,3,974.68,721.0,16.48772111,7.0168337,441091,19.50382
4,2.0,84.0,906.25,29,10,50,1142.86,38,8.532480293999999,0,6685888,3,0,9,1.0,2,4,1,10,62,660.71,1,7,0,1105.0,11,40,1139.88,2,29431,17.0,10,2721859,6237.0,1,90.0,5,178,5,6.543563239,67,Nagatinskij Zaton,275665,70194,8.42790322,7.790824982,901.79,2,3,0,1400.0,672.62,8.081087842,6.3067663320000005,12065,1.795546
1,4.0,130.0,1159.34,46,8,15,1434.78,76,17.71852563,4,12141667,37,1,5,51.0,6,8,4,7,34,860.87,1,1,4,1014.0,18,24,1450.55,2,29529,25.0,8,499392,17063.0,4,201.0,11,99,0,13.57899582,14,Mitino,874180,120381,26.01535697,16.53276707,1147.83,4,13,1,1280.0,868.13,25.83527918,15.68976851,163044,16.79137
14,40.0,10.0,1048.8,193,32,88,1210.53,52,8.476292395,17,8980000,28,2,15,42.0,23,19,5,51,84,718.13,3,4,26,862.34,59,71,1309.28,7,13804,9.0,48,2814784,4960.0,3,5.0,27,323,2,7.967398987999999,114,Sokol,1330129,36496,21.94681498,7.288533535,964.33,26,39,2,1084.42,788.32,16.79047121,6.448284417000001,245717,18.39426
4,42.0,27.0,1139.94,346,74,264,1392.06,45,4.212744234,27,5500000,19,4,76,0.0,34,25,16,79,291,843.49,10,44,44,1074.07,82,302,1419.08,16,12669,,119,6190629,2022.0,27,17.0,35,1143,18,3.639000356,381,Donskoe,1101436,28737,8.66113467,3.5591456210000003,1117.78,25,91,7,1342.59,860.8,10.89281792,2.196536251,493150,7.009786999999998
